iter	Passed	Remaining
2468	57696	175986
2469	57717	175956
2470	57742	175937
2471	57764	175909
2472	57785	175879
2473	57806	175848
2474	57826	175817
2475	57847	175785
2476	57868	175754
2477	57891	175729
2478	57916	175711
2479	57938	175683
2480	57960	175657
2481	57984	175635
2482	58010	175618
2483	58031	175590
2484	58057	175573
2485	58087	175570
2486	58111	175550
2487	58133	175521
2488	58154	175491
2489	58179	175473
2490	58204	175454
2491	58229	175435
2492	58254	175419
2493	58276	175388
2494	58296	175355
2495	58321	175337
2496	58344	175313
2497	58373	175306
2498	58393	175274
2499	58416	175249
2500	58438	175223
2501	58464	175205
2502	58485	175175
2503	58509	175154
2504	58535	175140
2505	58559	175118
2506	58583	175095
2507	58609	175079
2508	58630	175048
2509	58652	175023
2510	58683	175020
2511	58708	175003
2512	58733	174984
2513	58756	174961
2514	58786	174957
2515	58807	174927
2516	58829	174900
2517	58850	174868
2518	58881	174866
2519	58900	174831
2520	58929	174825
2521	58950	174793
2522	58977	174782
2523	58999	174754
2524	59021	174727
2525	59051	174721
2526	59076	174705
2527	59105	174697
2528	59133	174688
2529	59153	174653
2530	59177	174634
2531	59200	174608
2532	59229	174601
2533	59252	174576
2534	59278	174563
2535	59301	174537
2536	59329	174527
2537	59355	174510
2538	59376	174481
2539	59399	174457
2540	59420	174427
2541	59444	174404
2542	59467	174379
2543	59486	174345
2544	59507	174313
2545	59529	174284
2546	59553	174264
2547	59575	174236
2548	59600	174218
2549	59620	174185
2550	59640	174153
2551	59663	174128
2552	59685	174099
2553	59716	174098
2554	59739	174075
2555	59761	174047
2556	59783	174019
2557	59803	173987
2558	59826	173963
2559	59847	173932
2560	59870	173908
2561	59891	173876
2562	59912	173845
2563	59935	173822
2564	59958	173796
2565	59981	173773
2566	60005	173751
2567	60027	173724
2568	60048	173695
2569	60073	173676
2570	60103	173672
2571	60129	173654
2572	60156	173641
2573	60183	173629
2574	60209	173614
2575	60238	173605
2576	60259	173576
2577	60284	173557
2578	60307	173532
2579	60332	173514
2580	60356	173493
2581	60384	173481
2582	60406	173456
2583	60431	173436
2584	60454	173411
2585	60478	173391
2586	60500	173363
2587	60521	173333
2588	60544	173307
2589	60565	173278
2590	60589	173257
2591	60615	173241
2592	60646	173239
2593	60664	173200
2594	60686	173173
2595	60708	173144
2596	60729	173114
2597	60754	173095
2598	60781	173083
2599	60806	173064
2600	60828	173036
2601	60851	173012
2602	60873	172985
2603	60895	172957
2604	60916	172927
2605	60940	172906
2606	60964	172885
2607	60988	172863
2608	61010	172834
2609	61032	172808
2610	61055	172784
2611	61079	172763
2612	61102	172738
2613	61126	172716
2614	61148	172689
2615	61171	172664
2616	61194	172641
2617	61217	172614
2618	61239	172586
2619	61263	172566
2620	61285	172539
2621	61310	172521
2622	61336	172503
2623	61357	172473
2624	61378	172445
2625	61402	172422
2626	61423	172392
2627	61446	172368
2628	61469	172344
2629	61496	172330
2630	61523	172316
2631	61544	172286
2632	61565	172258
2633	61589	172235
2634	61613	172214
2635	61639	172196
2636	61665	172181
2637	61688	172157
2638	61710	172130
